Cycle,CommandPos-0,FeedbackPos-0,CommandPos-1,FeedbackPos-1
3269.00,0.008048989,0.000000000,-0.004024494,0.000000000
3270.00,0.032195955,0.000000000,-0.016097974,0.000000000
3271.00,0.072440903,0.000000000,-0.036220435,0.000000000
3272.00,0.128783837,0.000000000,-0.064391866,0.000000000
3273.00,0.201224763,0.000000000,-0.100612255,0.000000000
3274.00,0.289763691,0.000000000,-0.144881583,0.000000000
3275.00,0.394400631,0.000000000,-0.197199829,0.000000000
3276.00,0.515135596,0.000000000,-0.257566969,0.000000000
3277.00,0.651968600,1.000000000,-0.325982972,0.000000000
3278.00,0.804899660,1.000000000,-0.402447805,0.000000000
3279.00,0.973928794,1.000000000,-0.486961433,0.000000000
3280.00,1.159056024,1.000000000,-0.579523814,0.000000000
3281.00,1.360281370,1.000000000,-0.680134903,-1.000000000
3282.00,1.577604858,1.000000000,-0.788794651,-1.000000000
3283.00,1.811026513,2.000000000,-0.905503007,-1.000000000
3284.00,2.060546364,2.000000000,-1.030259914,-1.000000000
3285.00,2.326164441,2.000000000,-1.163065311,-1.000000000
3286.00,2.607880776,2.000000000,-1.303919135,-1.000000000
3287.00,2.905695403,3.000000000,-1.452821317,-1.000000000
3288.00,3.219608358,3.000000000,-1.609771786,-1.000000000
3289.00,3.549619679,3.000000000,-1.774770466,-2.000000000
3290.00,3.895729406,4.000000000,-1.947817276,-2.000000000
3291.00,4.257937580,4.000000000,-2.128912134,-2.000000000
3292.00,4.636244245,4.000000000,-2.318054952,-2.000000000
3293.00,5.030649448,5.000000000,-2.515245639,-2.000000000
3294.00,5.441153234,5.000000000,-2.720484099,-3.000000000
3295.00,5.867755655,5.000000000,-2.933770234,-3.000000000
3296.00,6.310456762,6.000000000,-3.155103939,-3.000000000
3297.00,6.769256607,6.000000000,-3.384485110,-3.000000000
3298.00,7.244155247,7.000000000,-3.621913633,-3.000000000
3299.00,7.735152739,7.000000000,-3.867389396,-4.000000000
3300.00,8.242249141,8.000000000,-4.120912279,-4.000000000
3301.00,8.765444516,8.000000000,-4.382482160,-4.000000000
3302.00,9.304738926,9.000000000,-4.652098913,-4.000000000
3303.00,9.860132437,9.000000000,-4.929762406,-5.000000000
3304.00,10.431625115,10.000000000,-5.215472508,-5.000000000
3305.00,11.019217030,10.000000000,-5.509229078,-5.000000000
3306.00,11.622908252,11.000000000,-5.811031976,-6.000000000
3307.00,12.242698854,12.000000000,-6.120881055,-6.000000000
3308.00,12.878588912,12.000000000,-6.438776166,-6.000000000
3309.00,13.530578501,13.000000000,-6.764717156,-6.000000000
3310.00,14.198667701,14.000000000,-7.098703866,-7.000000000
3311.00,14.882856592,14.000000000,-7.440736136,-7.000000000
3312.00,15.583145257,15.000000000,-7.790813801,-7.000000000
3313.00,16.299533780,16.000000000,-8.148936690,-8.000000000
3314.00,17.032022248,16.000000000,-8.515104632,-8.000000000
3315.00,17.780610750,17.000000000,-8.889317450,-9.000000000
3316.00,18.545299374,18.000000000,-9.271574962,-9.000000000
3317.00,19.326088215,19.000000000,-9.661876984,-9.000000000
3318.00,20.122977366,19.000000000,-10.060223327,-10.000000000
3319.00,20.935966923,20.000000000,-10.466613799,-10.000000000
3320.00,21.765056984,21.000000000,-10.881048205,-10.000000000
3321.00,22.610247650,22.000000000,-11.303526342,-11.000000000
3322.00,23.471539022,23.000000000,-11.734048008,-11.000000000
3323.00,24.348931204,23.000000000,-12.172612995,-12.000000000
3324.00,25.242424303,24.000000000,-12.619221090,-12.000000000
3325.00,26.152018426,25.000000000,-13.073872077,-13.000000000
3326.00,27.077713682,26.000000000,-13.536565738,-13.000000000
3327.00,28.019510184,27.000000000,-14.007301849,-14.000000000
3328.00,28.977408046,28.000000000,-14.486080181,-14.000000000
3329.00,29.951407382,29.000000000,-14.972900505,-14.000000000
3330.00,30.941508310,30.000000000,-15.467762584,-15.000000000
3331.00,31.947710951,31.000000000,-15.970666179,-15.000000000
3332.00,32.970015424,32.000000000,-16.481611048,-16.000000000
3333.00,34.008421854,33.000000000,-17.000596944,-16.000000000
3334.00,35.062930366,34.000000000,-17.527623616,-17.000000000
3335.00,36.133541087,35.000000000,-18.062690809,-18.000000000
3336.00,37.220254146,36.000000000,-18.605798265,-18.000000000
3337.00,38.323069674,37.000000000,-19.156945721,-19.000000000
3338.00,39.441987805,38.000000000,-19.716132912,-19.000000000
3339.00,40.577008673,39.000000000,-20.283359566,-20.000000000
3340.00,41.728132416,41.000000000,-20.858625410,-20.000000000
3341.00,42.895359171,42.000000000,-21.441930165,-21.000000000
3342.00,44.078689081,43.000000000,-22.033273551,-21.000000000
3343.00,45.278122288,44.000000000,-22.632655280,-22.000000000
3344.00,46.493658936,45.000000000,-23.240075064,-23.000000000
3345.00,47.725299172,46.000000000,-23.855532609,-23.000000000
3346.00,48.973043144,48.000000000,-24.479027618,-24.000000000
3347.00,50.236891004,49.000000000,-25.110559788,-24.000000000
3348.00,51.516842903,50.000000000,-25.750128816,-25.000000000
3349.00,52.812898997,52.000000000,-26.397734392,-26.000000000
3350.00,54.125059440,53.000000000,-27.053376202,-26.000000000
3351.00,55.453324393,54.000000000,-27.717053931,-27.000000000
3352.00,56.797694014,55.000000000,-28.388767256,-28.000000000
3353.00,58.158168465,57.000000000,-29.068515855,-28.000000000
3354.00,59.534747912,58.000000000,-29.756299397,-29.000000000
3355.00,60.927432520,60.000000000,-30.452117551,-30.000000000
3356.00,62.336222457,61.000000000,-31.155969981,-30.000000000
3357.00,63.761117892,62.000000000,-31.867856345,-31.000000000
3358.00,65.202118999,64.000000000,-32.587776301,-32.000000000
3359.00,66.659225949,65.000000000,-33.315729499,-33.000000000
3360.00,68.132438920,67.000000000,-34.051715588,-33.000000000
3361.00,69.621758088,68.000000000,-34.795734213,-34.000000000
3362.00,71.127183634,70.000000000,-35.547785014,-35.000000000
3363.00,72.648715739,71.000000000,-36.307867627,-36.000000000
3364.00,74.186354586,73.000000000,-37.075981684,-36.000000000
3365.00,75.740100361,74.000000000,-37.852126814,-37.000000000
3366.00,77.309953250,76.000000000,-38.636302643,-38.000000000
3367.00,78.895913444,77.000000000,-39.428508791,-39.000000000
3368.00,80.497981133,79.000000000,-40.228744874,-39.000000000
3369.00,82.116156511,80.000000000,-41.037010507,-40.000000000
3370.00,83.750439773,82.000000000,-41.853305298,-41.000000000
3371.00,85.400831115,84.000000000,-42.677628853,-42.000000000
3372.00,87.067330737,85.000000000,-43.509980772,-43.000000000
3373.00,88.749938839,87.000000000,-44.350360654,-44.000000000
3374.00,90.448655625,89.000000000,-45.198768092,-44.000000000
3375.00,92.163481298,90.000000000,-46.055202677,-45.000000000
3376.00,93.894416066,92.000000000,-46.919663993,-46.000000000
3377.00,95.641460138,94.000000000,-47.792151622,-47.000000000
3378.00,97.404613723,96.000000000,-48.672665144,-48.000000000
3379.00,99.183877035,97.000000000,-49.561204131,-49.000000000
3380.00,100.979250287,99.000000000,-50.457768155,-50.000000000
3381.00,102.790733697,101.000000000,-51.362356782,-50.000000000
3382.00,104.618327482,103.000000000,-52.274969574,-51.000000000
3383.00,106.462031862,105.000000000,-53.195606089,-52.000000000
3384.00,108.321847060,106.000000000,-54.124265883,-53.000000000
3385.00,110.197773300,108.000000000,-55.060948507,-54.000000000
3386.00,112.089810808,110.000000000,-56.005653507,-55.000000000
3387.00,113.997959812,112.000000000,-56.958380426,-56.000000000
3388.00,115.922220541,114.000000000,-57.919128804,-57.000000000
3389.00,117.862593228,116.000000000,-58.887898175,-58.000000000
3390.00,119.819078106,118.000000000,-59.864688072,-59.000000000
3391.00,121.791675410,120.000000000,-60.849498021,-60.000000000
3392.00,123.780385380,122.000000000,-61.842327547,-61.000000000
3393.00,125.785208253,124.000000000,-62.843176168,-62.000000000
3394.00,127.806144272,126.000000000,-63.852043401,-63.000000000
3395.00,129.843193680,128.000000000,-64.868928758,-64.000000000
3396.00,131.896356722,130.000000000,-65.893831746,-65.000000000
3397.00,133.965633646,132.000000000,-66.926751870,-66.000000000
3398.00,136.051024700,134.000000000,-67.967688630,-67.000000000
3399.00,138.152530136,136.000000000,-69.016641522,-68.000000000
3400.00,140.270150207,138.000000000,-70.073610039,-69.000000000
3401.00,142.403885168,140.000000000,-71.138593669,-70.000000000
3402.00,144.553735276,142.000000000,-72.211591897,-71.000000000
3403.00,146.719700790,145.000000000,-73.292604204,-72.000000000
3404.00,148.901781969,147.000000000,-74.381630066,-73.000000000
3405.00,151.099979079,149.000000000,-75.478668956,-74.000000000
3406.00,153.314292381,151.000000000,-76.583720344,-75.000000000
3407.00,155.544722145,153.000000000,-77.696783695,-77.000000000
3408.00,157.791268637,156.000000000,-78.817858470,-78.000000000
3409.00,160.053932128,158.000000000,-79.946944126,-79.000000000
3410.00,162.332712891,160.000000000,-81.084040117,-80.000000000
3411.00,164.627611200,162.000000000,-82.229145893,-81.000000000
3412.00,166.938627331,165.000000000,-83.382260899,-82.000000000
