Cycle,CommandPos-0,FeedbackPos-0,CommandPos-1,FeedbackPos-1,CommandPos-2,FeedbackPos-2
6402.00,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6403.00,0.006283632,0.000000000,-0.006283631,0.000000000,0.001414314,0.000000000
6404.00,0.025134531,0.000000000,-0.025134522,0.000000000,0.005657256,0.000000000
6405.00,0.056552707,0.000000000,-0.056552662,0.000000000,0.012728826,0.000000000
6406.00,0.100538177,0.000000000,-0.100538034,0.000000000,0.022629024,0.000000000
6407.00,0.157090964,0.000000000,-0.157090615,0.000000000,0.035357850,0.000000000
6408.00,0.226211099,0.000000000,-0.226210375,0.000000000,0.050915304,0.000000000
6409.00,0.307898618,0.000000000,-0.307897278,0.000000000,0.069301387,0.000000000
6410.00,0.402153565,0.000000000,-0.402151278,0.000000000,0.090516097,0.000000000
6411.00,0.508975991,0.000000000,-0.508972327,0.000000000,0.114559435,0.000000000
6412.00,0.628365951,1.000000000,-0.628360367,-1.000000000,0.141431401,0.000000000
6413.00,0.760323510,1.000000000,-0.760315335,-1.000000000,0.171131995,0.000000000
6414.00,0.904848739,1.000000000,-0.904837160,-1.000000000,0.203661218,0.000000000
6415.00,1.061941713,1.000000000,-1.061925765,-1.000000000,0.239019068,0.000000000
6416.00,1.231602518,1.000000000,-1.231581067,-1.000000000,0.277205546,0.000000000
6417.00,1.413831242,1.000000000,-1.413802974,-1.000000000,0.318220653,0.000000000
6418.00,1.608627985,1.000000000,-1.608591390,-1.000000000,0.362064387,0.000000000
6419.00,1.815992849,2.000000000,-1.815946211,-2.000000000,0.408736749,0.000000000
6420.00,2.035925944,2.000000000,-2.035867327,-2.000000000,0.458237740,0.000000000
6421.00,2.268427389,2.000000000,-2.268354620,-2.000000000,0.510567358,0.000000000
6422.00,2.513497308,2.000000000,-2.513407965,-2.000000000,0.565725605,1.000000000
6423.00,2.771135830,3.000000000,-2.771027234,-3.000000000,0.623712479,1.000000000
6424.00,3.041343093,3.000000000,-3.041212287,-3.000000000,0.684527982,1.000000000
6425.00,3.324119241,3.000000000,-3.323962981,-3.000000000,0.748172112,1.000000000
6426.00,3.619464426,3.000000000,-3.619279166,-3.000000000,0.814644871,1.000000000
6427.00,3.927378804,4.000000000,-3.927160683,-4.000000000,0.883946257,1.000000000
6428.00,4.247862539,4.000000000,-4.247607369,-4.000000000,0.956076272,1.000000000
6429.00,4.580915803,4.000000000,-4.580619053,-4.000000000,1.031034915,1.000000000
6430.00,4.926538773,5.000000000,-4.926195556,-5.000000000,1.108822185,1.000000000
6431.00,5.284731633,5.000000000,-5.284336696,-5.000000000,1.189438084,1.000000000
6432.00,5.655494575,5.000000000,-5.655042280,-5.000000000,1.272882611,1.000000000
6433.00,6.038827795,6.000000000,-6.038312111,-6.000000000,1.359155765,1.000000000
6434.00,6.434731498,6.000000000,-6.434145986,-6.000000000,1.448257548,1.000000000
6435.00,6.843205896,6.000000000,-6.842543691,-6.000000000,1.540187959,1.000000000
6436.00,7.264251206,7.000000000,-7.263505011,-7.000000000,1.634946998,2.000000000
6437.00,7.697867652,7.000000000,-7.697029720,-7.000000000,1.732534665,2.000000000
