Cycle,CommandPos-0,FeedbackPos-0,CommandPos-1,FeedbackPos-1,CommandPos-2,FeedbackPos-2
6409.00,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6410.00,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6411.00,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6412.00,0.133618386,0.000000000,0.267236772,0.000000000,0.400855158,0.000000000
6413.00,0.534473544,0.000000000,1.068947087,0.000000000,1.603420631,0.000000000
6414.00,1.202565473,1.000000000,2.405130946,1.000000000,3.607696419,2.000000000
6415.00,2.137894174,1.000000000,4.275788348,2.000000000,6.413682523,4.000000000
6416.00,3.340459647,2.000000000,6.680919294,4.000000000,10.021378942,6.000000000
6417.00,4.810261892,3.000000000,9.620523784,7.000000000,14.430785676,10.000000000
6418.00,6.547300909,5.000000000,13.094601817,10.000000000,19.641902726,14.000000000
6419.00,8.551576697,7.000000000,17.103153394,13.000000000,25.654730091,20.000000000
6420.00,10.823089257,9.000000000,21.646178514,17.000000000,32.469267771,26.000000000
6421.00,13.361838589,11.000000000,26.723677178,22.000000000,40.085515767,32.000000000
6422.00,16.167824693,13.000000000,32.335649385,27.000000000,48.503474078,40.000000000
6423.00,19.241047568,16.000000000,38.482095136,32.000000000,57.723142704,49.000000000
6424.00,22.581507215,19.000000000,45.163014431,38.000000000,67.744521646,58.000000000
6425.00,26.189203634,23.000000000,52.378407269,45.000000000,78.567610903,68.000000000
6426.00,30.064136825,26.000000000,60.128273650,52.000000000,90.192410476,79.000000000
6427.00,34.206306788,30.000000000,68.412613576,60.000000000,102.618920363,90.000000000
6428.00,38.615713522,34.000000000,77.231427044,68.000000000,115.847140567,103.000000000
6429.00,43.292357028,39.000000000,86.584714057,77.000000000,129.877071085,116.000000000
6430.00,48.236237306,43.000000000,96.472474613,87.000000000,144.708711919,130.000000000
6431.00,53.447354356,48.000000000,106.894708712,96.000000000,160.342063068,145.000000000
6432.00,58.925708177,53.000000000,117.851416355,107.000000000,176.777124532,160.000000000
6433.00,64.671298771,59.000000000,129.342597541,118.000000000,194.013896312,177.000000000
6434.00,70.684126136,65.000000000,141.368252272,129.000000000,212.052378407,194.000000000
6435.00,76.964190273,71.000000000,153.928380545,141.000000000,230.892570818,212.000000000
6436.00,83.511491181,77.000000000,167.022982362,154.000000000,250.534473544,231.000000000
6437.00,90.326028862,84.000000000,180.652057723,167.000000000,270.978086585,251.000000000
6438.00,97.407803314,90.000000000,194.815606627,181.000000000,292.223409941,271.000000000
6439.00,104.756814538,97.000000000,209.513629075,195.000000000,314.270443613,292.000000000
6440.00,112.373062533,105.000000000,224.746125067,210.000000000,337.119187600,314.000000000
6441.00,120.256547301,112.000000000,240.513094602,225.000000000,360.769641903,337.000000000
6442.00,128.407268840,120.000000000,256.814537680,241.000000000,385.221806521,361.000000000
6443.00,136.825227151,128.000000000,273.650454303,257.000000000,410.475681454,385.000000000
6444.00,145.510422234,137.000000000,291.020844468,274.000000000,436.531266702,410.000000000
6445.00,154.462854089,146.000000000,308.925708177,291.000000000,463.388562266,437.000000000
6446.00,163.682522715,154.000000000,327.365045430,309.000000000,491.047568145,463.000000000
6447.00,173.169428113,164.000000000,346.338856227,327.000000000,519.508284340,491.000000000
6448.00,182.923570283,173.000000000,365.847140567,346.000000000,548.770710850,520.000000000
6449.00,192.944949225,183.000000000,385.889898450,366.000000000,578.834847675,549.000000000
6450.00,203.233564939,193.000000000,406.467129877,386.000000000,609.700694816,579.000000000
6451.00,213.789417424,203.000000000,427.578834848,406.000000000,641.368252272,610.000000000
6452.00,224.612506681,214.000000000,449.225013362,428.000000000,673.837520043,641.000000000
6453.00,235.702832710,225.000000000,471.405665420,449.000000000,707.108498129,674.000000000
6454.00,247.060395510,236.000000000,494.120791021,471.000000000,741.181186531,707.000000000
6455.00,258.685195083,247.000000000,517.370390166,494.000000000,776.055585249,741.000000000
6456.00,270.577231427,259.000000000,541.154462854,517.000000000,811.731694281,776.000000000
6457.00,282.736504543,271.000000000,565.473009086,541.000000000,848.209513629,812.000000000
6458.00,295.163014431,283.000000000,590.326028862,565.000000000,885.489043292,848.000000000
6459.00,307.856761090,295.000000000,615.713522181,590.000000000,923.570283271,885.000000000
6460.00,320.817744522,308.000000000,641.635489043,616.000000000,962.453233565,924.000000000
6461.00,334.045964725,321.000000000,668.091929449,642.000000000,1002.137894174,962.000000000
6462.00,347.541421700,334.000000000,695.082843399,668.000000000,1042.624265099,1002.000000000
6463.00,361.304115446,348.000000000,722.608230893,695.000000000,1083.912346339,1043.000000000
6464.00,375.334045965,361.000000000,750.668091929,723.000000000,1126.002137894,1084.000000000
6465.00,389.631213255,375.000000000,779.262426510,751.000000000,1168.893639765,1126.000000000
6466.00,404.195617317,390.000000000,808.391234634,779.000000000,1212.586851951,1169.000000000
6467.00,419.027258151,404.000000000,838.054516301,808.000000000,1257.081774452,1213.000000000
6468.00,434.126135756,419.000000000,868.252271513,838.000000000,1302.378407269,1257.000000000
6469.00,449.492250134,434.000000000,898.984500267,868.000000000,1348.476750401,1302.000000000
6470.00,465.125601283,449.000000000,930.251202565,899.000000000,1395.376803848,1348.000000000
6471.00,481.026189204,465.000000000,962.052378407,930.000000000,1443.078567611,1395.000000000
6472.00,497.194013896,481.000000000,994.388027793,962.000000000,1491.582041689,1443.000000000
6473.00,513.629075361,497.000000000,1027.258150722,994.000000000,1540.887226082,1492.000000000
6474.00,530.331373597,514.000000000,1060.662747194,1027.000000000,1590.994120791,1541.000000000
6475.00,547.300908605,530.000000000,1094.601817210,1061.000000000,1641.902725815,1591.000000000
6476.00,564.537680385,547.000000000,1129.075360770,1095.000000000,1693.613041154,1642.000000000
6477.00,582.041688936,565.000000000,1164.083377873,1129.000000000,1746.125066809,1694.000000000
6478.00,599.812934260,582.000000000,1199.625868520,1164.000000000,1799.438802779,1746.000000000
6479.00,617.851416355,600.000000000,1235.702832710,1200.000000000,1853.554249065,1799.000000000
6480.00,636.157135222,618.000000000,1272.314270444,1236.000000000,1908.471405665,1854.000000000
6481.00,654.730090861,636.000000000,1309.460181721,1272.000000000,1964.190272582,1908.000000000
6482.00,673.570283271,655.000000000,1347.140566542,1309.000000000,2020.710849813,1964.000000000
6483.00,692.677712453,674.000000000,1385.355424906,1347.000000000,2078.033137360,2021.000000000
6484.00,712.052378407,693.000000000,1424.104756815,1385.000000000,2136.157135222,2078.000000000
6485.00,731.694281133,712.000000000,1463.388562266,1424.000000000,2195.082843399,2136.000000000
6486.00,751.603420631,732.000000000,1503.206841261,1463.000000000,2254.810261892,2195.000000000
6487.00,771.779796900,752.000000000,1543.559593800,1503.000000000,2315.339390700,2255.000000000
